"Supplement","Other_Supplements"
"Melatonin","Valerian root(2585/3271), 5-htp(189/376), Passion flower(102/224), Lemon balm(220/484), Chamomile(580/1431), Tryptophan(234/587), Magnolia bark(33/83), Skullcap(57/150), Theanine(174/468), Glycine(159/441), Lavender(306/931), Magnesium(2188/6857), Cbd oil(433/1376), Ashwagandha(157/510), Kava(158/547), California poppy(12/42), Zinc(81/339), Calcium(70/314), Mulungu(12/58), Potassium(45/327), Amanita(7/59), Vitamin d(62/550), Black seed oil(1/30)"
"5-htp","Tryptophan(40/587), Mulungu(3/58), Glycine(18/441), Passion flower(9/224), Magnolia bark(3/83), Valerian root(111/3271), Lemon balm(13/484), California poppy(1/42), Calcium(7/314), Kava(11/547), Ashwagandha(10/510), Theanine(8/468), Chamomile(23/1431), Magnesium(95/6857), Lavender(11/931), Zinc(4/339), Potassium(3/327), Cbd oil(11/1376), Melatonin(189/24587), Vitamin d(4/550)"
"Valerian root","Skullcap(88/150), Passion flower(111/224), California poppy(20/42), Lemon balm(200/484), Magnolia bark(27/83), Kava(147/547), Chamomile(370/1431), 5-htp(77/376), Ashwagandha(96/510), Theanine(78/468), Glycine(62/441), Mulungu(8/58), Lavender(127/931), Tryptophan(65/587), Calcium(30/314), Magnesium(622/6857), Amanita(5/59), Zinc(28/339), Melatonin(1641/24587), Potassium(20/327), Cbd oil(80/1376), Vitamin d(9/550)"
"Lemon balm","Magnolia bark(35/83), California poppy(11/42), Passion flower(50/224), Mulungu(10/58), Skullcap(24/150), Glycine(45/441), Valerian root(306/3271), Chamomile(111/1431), Ashwagandha(37/510), Black seed oil(2/30), Theanine(29/468), Kava(32/547), Lavender(49/931), 5-htp(13/376), Amanita(2/59), Tryptophan(18/587), Zinc(9/339), Potassium(8/327), Calcium(7/314), Magnesium(139/6857), Melatonin(220/24587), Cbd oil(10/1376), Vitamin d(3/550)"
"Lavender","Chamomile(194/1431), Lemon balm(49/484), California poppy(4/42), Skullcap(13/150), Mulungu(5/58), Passion flower(18/224), Magnolia bark(6/83), Black seed oil(2/30), Valerian root(194/3271), Amanita(3/59), Kava(25/547), Theanine(15/468), 5-htp(11/376), Cbd oil(37/1376), Calcium(7/314), Zinc(7/339), Ashwagandha(10/510), Magnesium(134/6857), Glycine(8/441), Tryptophan(10/587), Melatonin(306/24587), Vitamin d(5/550), Potassium(2/327)"
"Passion flower","California poppy(11/42), Skullcap(24/150), Mulungu(7/58), Lemon balm(50/484), Magnolia bark(6/83), Valerian root(164/3271), Kava(24/547), Chamomile(58/1431), Amanita(2/59), Ashwagandha(17/510), 5-htp(9/376), Theanine(11/468), Glycine(10/441), Lavender(18/931), Zinc(6/339), Calcium(5/314), Magnesium(55/6857), Melatonin(102/24587), Tryptophan(2/587), Potassium(1/327), Cbd oil(3/1376)"
"Chamomile","California poppy(12/42), Passion flower(58/224), Skullcap(38/150), Magnolia bark(20/83), Lemon balm(111/484), Lavender(194/931), Valerian root(561/3271), Kava(49/547), Mulungu(4/58), Theanine(31/468), 5-htp(23/376), Ashwagandha(28/510), Glycine(21/441), Magnesium(255/6857), Calcium(11/314), Amanita(2/59), Zinc(11/339), Cbd oil(43/1376), Tryptophan(15/587), Melatonin(580/24587), Potassium(6/327), Vitamin d(2/550)"
"Ashwagandha","Magnolia bark(7/83), Lemon balm(37/484), Passion flower(17/224), Skullcap(11/150), California poppy(3/42), Valerian root(155/3271), Glycine(19/441), Theanine(19/468), Kava(19/547), 5-htp(10/376), Chamomile(28/1431), Zinc(6/339), Mulungu(1/58), Magnesium(115/6857), Lavender(10/931), Calcium(3/314), Tryptophan(4/587), Melatonin(157/24587), Cbd oil(8/1376), Vitamin d(3/550), Potassium(1/327)"
"Kava","Amanita(13/59), Mulungu(10/58), California poppy(7/42), Skullcap(23/150), Passion flower(24/224), Magnolia bark(6/83), Lemon balm(32/484), Valerian root(215/3271), Ashwagandha(19/510), Chamomile(49/1431), 5-htp(11/376), Calcium(9/314), Lavender(25/931), Theanine(12/468), Zinc(8/339), Glycine(7/441), Tryptophan(9/587), Magnesium(96/6857), Cbd oil(14/1376), Potassium(3/327), Melatonin(158/24587), Vitamin d(2/550)"
"Skullcap","California poppy(8/42), Magnolia bark(9/83), Passion flower(24/224), Mulungu(3/58), Amanita(3/59), Lemon balm(24/484), Kava(23/547), Theanine(18/468), Valerian root(114/3271), Chamomile(38/1431), Ashwagandha(11/510), Lavender(13/931), Glycine(5/441), Calcium(2/314), Magnesium(42/6857), Vitamin d(2/550), Potassium(1/327), Zinc(1/339), Melatonin(57/24587), Tryptophan(1/587), Cbd oil(2/1376)"
"California poppy","Black seed oil(2/30), Magnolia bark(5/83), Skullcap(8/150), Passion flower(11/224), Mulungu(2/58), Lemon balm(11/484), Amanita(1/59), Kava(7/547), Valerian root(28/3271), Chamomile(12/1431), Ashwagandha(3/510), Lavender(4/931), 5-htp(1/376), Glycine(1/441), Theanine(1/468), Magnesium(10/6857), Cbd oil(1/1376), Melatonin(12/24587)"
"Magnolia bark","California poppy(5/42), Lemon balm(35/484), Black seed oil(2/30), Skullcap(9/150), Mulungu(3/58), Passion flower(6/224), Glycine(11/441), Theanine(10/468), Chamomile(20/1431), Ashwagandha(7/510), Potassium(4/327), Valerian root(38/3271), Kava(6/547), 5-htp(3/376), Lavender(6/931), Calcium(2/314), Tryptophan(3/587), Cbd oil(6/1376), Magnesium(29/6857), Zinc(1/339), Vitamin d(1/550), Melatonin(33/24587)"
