Supplement,Mentioned_Supplements,Average_Individual_Sentiment,Average_Combination_Sentiment,Difference
5-HTP,ashwagandha,2.223404255319149,2.3,0.07659574468085095
5-HTP,calcium,2.223404255319149,2.0,-0.22340425531914887
5-HTP,california poppy,2.223404255319149,2.0,-0.22340425531914887
5-HTP,cbd oil,2.223404255319149,2.4545454545454546,0.23114119922630572
5-HTP,chamomile,2.223404255319149,2.347826086956522,0.12442183163737308
5-HTP,glycine,2.223404255319149,2.2222222222222223,-0.0011820330969265491
5-HTP,kava,2.223404255319149,1.9090909090909092,-0.3143133462282397
5-HTP,lavender,2.223404255319149,2.272727272727273,0.04932301740812406
5-HTP,lemon balm,2.223404255319149,2.1538461538461537,-0.06955810147299513
5-HTP,magnesium,2.223404255319149,2.389473684210526,0.16606942889137732
5-HTP,magnolia bark,2.223404255319149,2.0,-0.22340425531914887
5-HTP,melatonin,2.223404255319149,2.015873015873016,-0.20753123944613305
5-HTP,mulungu,2.223404255319149,3.0,0.7765957446808511
5-HTP,passion flower,2.223404255319149,2.7777777777777777,0.5543735224586288
5-HTP,potassium,2.223404255319149,1.6666666666666667,-0.5567375886524821
5-HTP,theanine,2.223404255319149,1.875,-0.34840425531914887
5-HTP,tryptophan,2.223404255319149,2.081081081081081,-0.14232317423806773
5-HTP,valerian root,2.223404255319149,2.0,-0.22340425531914887
5-HTP,vitamin d,2.223404255319149,2.0,-0.22340425531914887
5-HTP,zinc,2.223404255319149,1.75,-0.47340425531914887
Amanita,california poppy,2.2711864406779663,4.0,1.7288135593220337
Amanita,cbd oil,2.2711864406779663,2.0,-0.27118644067796627
Amanita,chamomile,2.2711864406779663,4.0,1.7288135593220337
Amanita,kava,2.2711864406779663,1.9230769230769231,-0.34810951760104314
Amanita,lavender,2.2711864406779663,4.0,1.7288135593220337
Amanita,lemon balm,2.2711864406779663,2.5,0.22881355932203373
Amanita,magnesium,2.2711864406779663,2.0,-0.27118644067796627
Amanita,melatonin,2.2711864406779663,2.0,-0.27118644067796627
Amanita,mulungu,2.2711864406779663,2.0,-0.27118644067796627
Amanita,passion flower,2.2711864406779663,2.5,0.22881355932203373
Amanita,skullcap,2.2711864406779663,1.0,-1.2711864406779663
Amanita,valerian root,2.2711864406779663,1.4,-0.8711864406779664
Ashwagandha,5-htp,2.070588235294118,2.3,0.22941176470588198
Ashwagandha,calcium,2.070588235294118,1.6666666666666667,-0.4039215686274511
Ashwagandha,california poppy,2.070588235294118,2.0,-0.07058823529411784
Ashwagandha,cbd oil,2.070588235294118,1.75,-0.32058823529411784
Ashwagandha,chamomile,2.070588235294118,2.607142857142857,0.5365546218487394
Ashwagandha,glycine,2.070588235294118,2.1052631578947367,0.034674922600618885
Ashwagandha,kava,2.070588235294118,2.3157894736842106,0.24520123839009278
Ashwagandha,lavender,2.070588235294118,2.7,0.6294117647058823
Ashwagandha,lemon balm,2.070588235294118,2.27027027027027,0.19968203497615233
Ashwagandha,magnesium,2.070588235294118,2.008695652173913,-0.06189258312020485
Ashwagandha,magnolia bark,2.070588235294118,2.5714285714285716,0.5008403361344538
Ashwagandha,melatonin,2.070588235294118,1.7579617834394905,-0.31262645185462734
Ashwagandha,mulungu,2.070588235294118,3.0,0.9294117647058822
Ashwagandha,passion flower,2.070588235294118,1.7058823529411764,-0.36470588235294144
Ashwagandha,potassium,2.070588235294118,1.0,-1.0705882352941178
Ashwagandha,skullcap,2.070588235294118,2.090909090909091,0.020320855614972988
Ashwagandha,theanine,2.070588235294118,1.9473684210526316,-0.1232198142414862
Ashwagandha,tryptophan,2.070588235294118,2.25,0.17941176470588216
Ashwagandha,valerian root,2.070588235294118,1.96875,-0.10183823529411784
Ashwagandha,vitamin d,2.070588235294118,1.3333333333333333,-0.7372549019607846
Ashwagandha,zinc,2.070588235294118,1.8333333333333333,-0.23725490196078458
Black Seed Oil,california poppy,2.3666666666666667,1.5,-0.8666666666666667
Black Seed Oil,cbd oil,2.3666666666666667,2.2,-0.16666666666666652
Black Seed Oil,glycine,2.3666666666666667,1.0,-1.3666666666666667
Black Seed Oil,lavender,2.3666666666666667,1.5,-0.8666666666666667
Black Seed Oil,lemon balm,2.3666666666666667,1.5,-0.8666666666666667
Black Seed Oil,magnesium,2.3666666666666667,3.4,1.0333333333333332
Black Seed Oil,magnolia bark,2.3666666666666667,1.5,-0.8666666666666667
Black Seed Oil,melatonin,2.3666666666666667,1.0,-1.3666666666666667
Black Seed Oil,mulungu,2.3666666666666667,1.5,-0.8666666666666667
Black Seed Oil,tryptophan,2.3666666666666667,1.0,-1.3666666666666667
CBD Oil,5-htp,1.9978197674418605,2.4545454545454546,0.45672568710359407
CBD Oil,amanita,1.9978197674418605,2.0,0.0021802325581394832
CBD Oil,ashwagandha,1.9978197674418605,1.75,-0.24781976744186052
CBD Oil,black seed oil,1.9978197674418605,2.2,0.20218023255813966
CBD Oil,california poppy,1.9978197674418605,2.0,0.0021802325581394832
CBD Oil,chamomile,1.9978197674418605,2.046511627906977,0.04869186046511631
CBD Oil,glycine,1.9978197674418605,2.125,0.12718023255813948
CBD Oil,kava,1.9978197674418605,1.5,-0.4978197674418605
CBD Oil,lavender,1.9978197674418605,2.189189189189189,0.19136942174732852
CBD Oil,lemon balm,1.9978197674418605,2.0,0.0021802325581394832
CBD Oil,magnesium,1.9978197674418605,1.6559139784946237,-0.3419057889472368
CBD Oil,magnolia bark,1.9978197674418605,2.3333333333333335,0.33551356589147296
CBD Oil,melatonin,1.9978197674418605,1.6558891454965359,-0.34193062194532464
CBD Oil,passion flower,1.9978197674418605,1.0,-0.9978197674418605
CBD Oil,skullcap,1.9978197674418605,1.5,-0.4978197674418605
